fold_id,model_name,segment,rebill_period_t,expected_active_users,actual_active_users,expected_ltv_usd,actual_ltv_usd,n_rows
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_NA_US,5,3.7532,2.0,129.34,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_NA_US,6,3.2554,2.0,183.05,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_NA_US,5,2.3118,2.0,85.85,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_NA_US,6,1.778,2.0,115.19,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_ROW,5,3.914,2.0,137.19,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_ROW,6,3.2486,2.0,190.79,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_ROW,5,2.4167,2.0,88.9,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_ROW,6,1.965,2.0,121.32,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_SOUTH_ASIA,5,3.5419,2.0,128.73,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_SOUTH_ASIA,6,3.2762,2.0,182.78,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_SOUTH_ASIA,5,2.2162,2.0,83.31,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_SOUTH_ASIA,6,1.8991,2.0,114.65,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_SSA,5,3.8407,2.0,140.06,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_SSA,6,3.3499,2.0,195.34,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_SSA,5,2.4399,2.0,89.91,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_SSA,6,1.9363,2.0,121.86,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_UK,5,3.7104,2.0,131.75,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_UK,6,3.3402,2.0,186.86,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_UK,5,2.398,2.0,87.41,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_UK,6,1.8894,2.0,118.59,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_ANZ,4,4.4011,3.0,72.62,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_ANZ,5,3.6807,2.0,133.35,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_ANZ,6,3.378,2.0,189.09,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_ANZ,4,3.0992,3.0,51.14,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_ANZ,5,2.3539,2.0,89.98,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_ANZ,6,2.01,2.0,123.14,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_EA,4,4.5454,3.0,75.0,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_EA,5,4.1258,3.0,143.07,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_EA,6,3.5253,2.0,201.24,132.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_EA,4,3.0951,3.0,51.07,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_EA,5,2.6424,3.0,94.67,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_EA,6,2.1618,2.0,130.34,132.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_SEA,4,4.7216,3.0,77.91,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_SEA,5,4.2279,3.0,147.67,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_APAC_SEA,6,3.5901,2.0,206.9,132.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_SEA,4,3.2267,3.0,53.24,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_SEA,5,2.7959,3.0,99.37,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_APAC_SEA,6,2.1071,2.0,134.14,132.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_CIS,4,8.8294,6.0,145.68,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_CIS,5,7.6098,5.0,271.18,181.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_CIS,6,6.9235,4.0,385.01,247.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_CIS,4,6.2729,6.0,103.51,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_CIS,5,5.0356,5.0,185.44,181.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_CIS,6,4.4394,4.0,264.03,247.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_DACH,4,4.3673,3.0,72.06,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_DACH,5,3.6747,2.0,132.69,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_DACH,6,3.2362,2.0,186.09,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_DACH,4,2.9537,3.0,48.74,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_DACH,5,2.4535,2.0,89.22,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_DACH,6,1.9876,2.0,122.01,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_EAST,4,4.5412,3.0,74.93,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_EAST,5,3.9599,3.0,140.27,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_EAST,6,3.4688,2.0,197.5,132.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_EAST,4,3.3022,3.0,54.49,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_EAST,5,2.5239,3.0,96.13,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_EAST,6,2.1939,2.0,132.33,132.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_NORTH,4,4.2702,3.0,70.46,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_NORTH,5,3.7478,2.0,132.3,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_NORTH,6,3.2461,2.0,185.86,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_NORTH,4,2.8687,3.0,47.33,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_NORTH,5,2.3176,2.0,85.57,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_NORTH,6,1.8943,2.0,116.83,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_SOUTH,4,4.3647,3.0,72.02,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_SOUTH,5,3.6912,2.0,132.92,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_SOUTH,6,3.4096,2.0,189.18,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_SOUTH,4,3.1172,3.0,51.43,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_SOUTH,5,2.5583,2.0,93.65,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_SOUTH,6,1.7619,2.0,122.72,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_WEST,4,4.1551,3.0,68.56,49.5,1
