fold_id,model_name,wape_conversions,wape_cac
fold_1,Baseline_LastClick,0.3799997348675664,0.333790415704388
fold_2,Baseline_LastClick,0.43999999999999995,0.354961331760388
fold_3,Baseline_LastClick,0.5200002760905578,0.43459150427245336
fold_4,Baseline_LastClick,0.5499999999999999,0.4275125473517225
fold_1,Markov_DDA,0.399999462293319,0.3305074923420813
fold_2,Markov_DDA,0.42999999999999994,0.3441329764755599
fold_3,Markov_DDA,0.49999949029002505,0.42601557566828036
fold_4,Markov_DDA,0.5399997386304235,0.4630562417786903
fold_1,Shapley_DDA,0.40999947343478493,0.3369137596108327
fold_2,Shapley_DDA,0.4200000000000001,0.35154505150171667
fold_3,Shapley_DDA,0.49000026130128044,0.4295198323466875
fold_4,Shapley_DDA,0.5300005415797884,0.48521401418533083
