fold_id,model_name,segment,fit_region,confidence_weight,regressor,coefficient,p_value
fold_1,Baseline_MMM_Reg,Total_Macro_CIS,CIS,0,revenue_anomaly_score,-190.5636,0.31811
fold_1,Baseline_MMM_Reg,Total_Macro_CIS,CIS,0,is_structural_peak,401.3601,0.368446
fold_1,Baseline_MMM_Reg,Total_Macro_CIS,CIS,0,is_sep_nov_trough,461.6553,0.49897
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,const,223.4381,0.564685
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,spend_gads_search,1495.9813,0.080989
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,spend_metads_fb,472.3106,0.387269
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,spend_gads_youtube,-620.6074,0.839609
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,spend_metads_inst,-523.8933,0.399791
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,spend_tiktok,398.0068,0.486055
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,spend_gads_discover,-1852.1614,0.283911
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,fourier_sin_q1,149.9468,0.302855
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,fourier_cos_q1,168.1991,0.455667
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,revenue_anomaly_score,200.4185,0.208415
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,is_structural_peak,96.5309,0.22205
fold_1,Baseline_MMM_Reg,Total_Macro_EU_DACH,EU_DACH,0,is_sep_nov_trough,355.7422,0.243677
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,const,313.2962,0.579575
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,spend_gads_search,862.4806,0.217296
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,spend_metads_fb,967.365,0.610478
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,spend_gads_youtube,-426.3106,0.29363
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,spend_metads_inst,339.3643,0.187432
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,spend_tiktok,495.5162,0.061554
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,spend_gads_discover,-331.1861,0.503175
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,fourier_sin_q1,-72.8542,0.305546
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,fourier_cos_q1,519.8993,0.095092
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,revenue_anomaly_score,343.0024,0.252398
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,is_structural_peak,-480.7985,0.15537
fold_1,Baseline_MMM_Reg,Total_Macro_EU_EAST,EU_EAST,0,is_sep_nov_trough,603.057,0.363188
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,const,358.3886,0.166624
